Trajectory_ID,User_ID,#Photo,Start_Time,Travel_Distance(km),Total_Time(min),Average_Speed(km/h)
7,10058801@N06,19,2008-10-11 15:56:51,0.9612121902498869,71.36666666666666,0.8081186092712734
10,10087938@N02,16,2008-03-13 01:35:32,0.7818337688848523,169.95,0.2760225132867969
13,10087938@N02,25,2008-03-15 02:32:44,1.0620792053872643,494.13333333333327,0.12896266660125985
19,10132296@N00,10,2011-08-13 03:05:24,1.223395529422957,180.51666666666668,0.4066313272941229
26,101884347@N06,5,2013-12-13 09:56:38,1.751771829042387,489.73333333333335,0.21461947265697634
28,101884347@N06,3,2013-12-18 19:58:00,5.802147655790168,211.96666666666667,1.6423754962136028
32,10195518@N02,3,2007-06-03 15:16:38,1.1097927363825049,237.06666666666663,0.2808811762497904
33,10195518@N02,6,2007-07-28 12:35:34,11.225227625688362,602.9333333333333,1.1170615726580635
41,10195518@N02,18,2007-08-15 18:44:05,20.688012432041386,160.83333333333334,7.7178077466682895
43,10195518@N02,3,2007-08-17 09:46:26,37.311160505947726,558.9666666666667,4.005014545334004
44,10195518@N02,3,2007-08-18 10:02:08,30.80879830536729,251.1,7.361720025177367
49,10195518@N02,5,2007-08-23 17:25:50,17.49022979432587,220.4333333333333,4.760685563252165
52,10195518@N02,4,2007-08-27 14:24:05,0.7577534312976042,170.45,0.2667363207853109
53,10195518@N02,3,2007-08-28 11:23:01,0.5270555515788956,598.55,0.05283323547695888
56,10195518@N02,12,2007-09-01 07:57:12,17.31754205495403,596.8166666666667,1.7409911306608536
57,10195518@N02,3,2007-09-02 09:17:23,21.581174710477942,256.68333333333334,5.0446223594390345
64,10195518@N02,7,2007-09-09 10:56:25,18.64818469836857,323.53333333333336,3.4583486974102016
68,10195518@N02,3,2007-09-15 13:21:11,12.542529335248926,342.43333333333334,2.1976591846050875
77,10195518@N02,4,2007-09-29 11:21:58,11.005607444561452,259.96666666666664,2.540081215567459
80,10195518@N02,2,2007-10-02 14:03:59,6.574625517316375,190.65,2.0691189668973644
85,10195518@N02,3,2007-10-10 11:39:35,0.7009108796611624,114.7,0.3666491088027005
91,10204545@N02,9,2011-09-17 10:21:08,20.7136549728861,203.4833333333333,6.107720362223767
97,10204545@N02,3,2011-10-19 10:58:42,1.4429841999820336,33.333333333333336,2.59737155996766
100,10204545@N02,3,2011-10-27 12:28:22,0.9064571883888098,354.66666666666674,0.15334802059209188
